calc_R11,calc_R12,calc_R13,calc_01,calc_R21,calc_R22,calc_R23,calc_02,calc_R31,calc_R32,calc_R33,calc_03,calc_TX,calc_TY,calc_TZ,calc_1
0.008146009,0.051585553,0.998635356,0,0.936588235,0.349488688,-0.025693085,0,-0.350337153,0.935519421,-0.045467484,0,-5.31473358,-6.708848383,-0.656247573,1
-0.009034279,0.062874326,0.997980561,0,0.934595866,0.355438388,-0.013932685,0,-0.355596611,0.932582635,-0.061973215,0,-5.20905185,-6.757209841,-0.6099829,1
-0.026074286,0.073905187,0.996924348,0,0.93245055,0.36128968,-0.002395567,0,-0.360355523,0.929520194,-0.078333303,0,-5.107756164,-6.802849815,-0.562024449,1
-0.041740699,0.084531002,0.995546194,0,0.930930184,0.365108894,0.008030422,0,-0.362803951,0.927119197,-0.093932362,0,-5.021453966,-6.840261863,-0.513341142,1
-0.057524549,0.095048235,0.993809217,0,0.929233635,0.369029639,0.018492614,0,-0.364987366,0.924544731,-0.10955028,0,-4.936171711,-6.875998264,-0.462754976,1
-0.07345848,0.105505846,0.991701754,0,0.927379485,0.372995479,0.029011428,0,-0.366839395,0.921814997,-0.125243638,0,-4.852414437,-6.910247014,-0.409785807,1
-0.089457371,0.115979256,0.989214937,0,0.925379027,0.376980799,0.03948588,0,-0.368335494,0.918931058,-0.141048482,0,-4.770851481,-6.943287775,-0.353697483,1
-0.105532021,0.126516088,0.986334969,0,0.923238742,0.380970837,0.049914392,0,-0.369449886,0.915890223,-0.157009177,0,-4.691678715,-6.975273426,-0.294022889,1
-0.121648885,0.137168248,0.983049551,0,0.920956969,0.384978526,0.060247786,0,-0.370188884,0.912675411,-0.173158262,0,-4.614992725,-7.006351847,-0.230229559,1
-0.137827338,0.147932466,0.979346522,0,0.918509336,0.389064063,0.070496488,0,-0.370599818,0.909255267,-0.189501015,0,-4.540190052,-7.036449408,-0.162250097,1
-0.154091553,0.158814893,0.975209528,0,0.915903461,0.393205496,0.08068635,0,-0.370643552,0.905630867,-0.206048756,0,-4.467521836,-7.065524632,-0.089994001,1
-0.170403271,0.169756852,0.970641714,0,0.913159194,0.397356851,0.090817512,0,-0.370274239,0.901826006,-0.222725938,0,-4.397648222,-7.093338814,-0.014145814,1
-0.186714555,0.180656863,0.965660796,0,0.91028339,0.401502993,0.100893489,0,-0.369488599,0.897863266,-0.239415395,0,-4.330857787,-7.119550522,0.06414957,1
-0.203062735,0.191520525,0.960252787,0,0.907200279,0.405817554,0.110904316,0,-0.368446984,0.893662129,-0.256153896,0,-4.265264081,-7.144118453,0.145318721,1
-0.21946023,0.202356603,0.954405057,0,0.90388395,0.410355938,0.120837945,0,-0.367193426,0.889190536,-0.272963694,0,-4.200324591,-7.167006313,0.22966026,1
